Gender,CGPA,10th Class Board,10th Class Science Marks (out of 100),10th Class Maths Marks (out of 100),10th Class English/Language Marks (out of 100),10th Class Overall Percentage,12th Class School Category,12th Class Board,12th Class Physics Marks (out of 100),12th Class Maths Marks (out of 100),12th Class Chemistry Marks (out of 100),12th Class English/Language Marks (out of 100),12th Class Overall Percentage,JEE Mains Session 1 Maths Percentile,JEE Mains Session 1 Physics  Percentile,JEE Mains Session 1 Chemistry  Percentile,JEE Mains Session 1 Overall Score,JEE Mains Session 2 Maths  Percentile,JEE Mains Session 2 Physics  Percentile,JEE Mains Session 2 Chemistry  Percentile,JEE Mains Session 2 Overall  Percentile
Female,8,CBSE,93,91,84,89.6,Private School,CBSE,73,79,72,81,75.4,43.2,77.7,77,75.3,87.1,62.3,76.3,74.8
Male,8,CBSE,77,86,80,84.6,Government School,CBSE,88,54,80,80,78.6,51,91,92,90.3,65,92,93,91.6
Male,8,State Board,100,100,100,100,Private School,State Board,95,93,98,92,93.2,16.9,91.9,85,85.4,47.2,88.8,91.7,88.8
Male,8,CBSE,95,89,88,87,Government School,CBSE,87,89,99,75,86.8,87.4,91.9,97.9,95.1,87.4,91.9,97.9,95.1
Female,8,CBSE,93,98,90,94,Government School,CBSE,88,92,92,85,90.8,84.1,78.9,59.6,76.3,91.8,82.6,31.7,78.2
Female,8,State Board,90,95,90,93,Private School,State Board,91,95,86,85,88.2,75.6,68.5,46,64.3,85.8,62.7,58,69.7
Male,8,CBSE,78,93,75,86.2,Government School,CBSE,66,82,68,70,79,55.3,73.1,70.7,71.7,87.9,76.1,59.5,77.2
Male,8,CBSE,98,95,99,97.6,Government School,CBSE,64,56,68,83,70,75,57,39,55,60,84,68,78
Female,8,CBSE,85,90,93,90.8,Government School,CBSE,79,75,78,92,80.8,91.6,79.6,82.9,86.6,74.1,89.2,86.2,88
Male,7.9,CBSE,94,98,88,94.6,Government School,CBSE,79,95,95,84,89.6,77.4,78.9,93.9,86.8,90.8,74,98.7,91.8
Male,7.9,CBSE,77,74,91,84.2,Government School,CBSE,87,50,73,91,79.4,86,92.8,84.3,90.7,60.7,94.4,84.7,89.2
Male,7.9,CBSE,91,91,93,93,Government School,CBSE,80,79,80,97,86.2,16.5,81.1,63.9,69,81,79,79.1,81.9
Male,7.9,CBSE,93,94,90,92.6,Government School,CBSE,79,80,84,79,83,79.2,83.5,90.2,87.8,45.1,90.6,87.7,87.9
Male,7.9,CBSE,81,86,81,82.8,Private School,CBSE,69,53,87,75,75.2,26.8,97.3,93,93.2,43.1,87.3,85.1,84.3
Female,7.9,CBSE,95,94,90,94.2,Government School,CBSE,95,67,80,80,82.8,70.7,78.1,95.9,87.7,38,89.8,91.1,87.5
Male,7.9,CBSE,95,95,83,94,Private School,CBSE,83,93,91,89,91.4,93.2,90.1,82.8,91.1,46.6,86.1,42.5,75.6
Male,7.8,CBSE,93,95,94,94.2,Government School,CBSE,84,75,77,77,80,43.2,91.3,97.6,93.2,65.9,96,96.2,94.8
Male,7.8,CBSE,91,95,91,93.6,Government School,CBSE,82,88,91,92,88.66,62.8,76.5,73.3,75.5,74.9,81.3,87.2,85.3
Male,7.8,CBSE,72,84,91,83.2,Government School,CBSE,89,63,72,90,82,51.9,85.3,31.7,69.5,84.5,91.2,79.2,88.2
Female,7.8,CBSE,81,95,69,85.2,Government School,CBSE,89,84,93,85,88,83.6,74.3,67.9,76,75.6,88.4,87.6,88.3
Male,7.8,State Board,85,91,90,88,Government School,State Board,87,48,85,90,77,75.5,87.5,80.7,85.4,12.3,83.9,91.7,84.7
Female,7.8,CBSE,93,97,93,93.6,Government School,CBSE,73,89,85,74,79.8,55.7,89,96.4,91.6,65,84.3,96.1,90.4
Female,7.8,CBSE,94,94,81,90.8,Government School,CBSE,82,61,80,85,75.8,57.2,81.2,84.2,82.3,64.7,88.7,95.5,90.8
Male,7.7,CBSE,77,91,92,85.8,Government School,CBSE,63,67,60,73,77.4,59,66.2,16.6,42.5,96,86,41.3,82.9
Male,7.7,State Board,97,94,92,95.42,Government School,State Board,73,74,88,90,86.2,84.3,82.8,93.4,90.8,63.4,37.5,50.7,56.9
Male,7.7,CBSE,85,96,89,92.2,Government School,CBSE,94,93,95,79,91.2,81.6,88.4,90.9,89.4,85.2,91.3,85.7,89.8
Male,7.7,CBSE,84,88,87,84.6,Government School,CBSE,88,66,86,91,82.67,87.7,78.9,80.5,83.7,60.8,76.1,25.2,58.9
Male,7.7,CBSE,92,86,90,91.17,Private School,CBSE,81,72,81,72,79,35.8,79.8,90.5,83.6,28.7,74.1,74.3,70.3
Female,7.7,CBSE,73,91,87,84.6,Government School,CBSE,60,69,83,88,74.6,65.4,48.7,84.7,74.2,76.1,81,87.4,84.2
Male,7.7,CBSE,93,92,92,91.8,Private School,CBSE,66,69,65,85,71.4,62.2,22.5,81.6,63.2,59.6,79,77.2,77.9
Male,7.6,CBSE,81,93,95,91.6,Government School,CBSE,71,74,63,85,79.5,70,87.5,56.6,77.9,35.7,88.4,87.3,84.6
Male,7.6,CBSE,98,91,94,95.8,Government School,CBSE,77,64,90,89,89,96,96,97,97.7,94.9,95,97,97.6
Male,7.6,CBSE,94,97,94,95.5,Government School,CBSE,95,87,95,89,91,92,83.8,82.6,88.1,86.6,90,83.1,88.7
Male,7.6,CBSE,76,94,73,85,Government School,CBSE,86,88,85,81,86,36.5,73.4,81.3,73.4,93.1,93.4,18.5,86.2
Female,7.6,CBSE,67,89,78,84.2,Government School,CBSE,79,95,94,78,87,64,51,86,74,32,79,82,78
Female,7.6,CBSE,69,87,86,85.4,Government School,CBSE,84,84,83,78,85.2,59.1,72.9,85.3,78.2,74.9,85.2,90.8,88.6
Male,7.6,CBSE,86,85,85,88.2,Government School,CBSE,84,58,62,84,75.2,50,90,58,78.3,85.5,92.5,87.9,91.8
Male,7.5,CBSE,93,95,90,90,Government School,CBSE,93,80,95,87,89.2,56.2,97.2,82.7,91.7,78.3,89.8,68.6,84.9
Male,7.5,CBSE,60,78,73,72.8,Government School,CBSE,84,88,95,87,86.6,62.8,74.3,82.4,78.8,78,87.6,91.4,89.7
Male,7.5,CBSE,97,88,89,91.2,Private School,CBSE,88,87,88,86,85.6,81.6,75.1,74.5,79.5,89.4,91.3,92.2,93
Male,7.4,CBSE,90,94,86,92.6,Private School,CBSE,76,74,74,79,77.6,38.3,83.8,82.6,80.5,95.8,88.8,77.8,90.2
Male,7.4,CBSE,92,82,81,85.8,Government School,CBSE,92,86,85,86,87.2,52.9,90,77,84.2,52.9,90,77,84.2
Male,7.4,CBSE,80,73,93,83.8,Government School,CBSE,87,75,81,74,80.6,81.4,90.9,93.3,92.1,93.5,96.1,87.9,94.9
Female,7.4,CBSE,97,91,90,92.4,Private School,State Board,86.7,86,95,95,95.8,83,78.8,97,92.1,87.9,82,89.6,88.5
Male,7.3,CBSE,96,98,95,96,Government School,CBSE,84,80,88,88,86,62.2,89.7,83,87.8,79.7,78.5,58.4,75.9
Male,7.3,CBSE,91,94,91,92.8,Government School,CBSE,90,61,92,87,84,37.9,89.2,84.3,85,67.7,91.5,81.9,87.5
Female,7.3,CBSE,93,99,94,96.4,Government School,CBSE,76,61,77,95,78.6,68.6,94.4,86.6,89.2,32.5,94.3,95.6,92.8
Male,7.3,CBSE,91,80,84,85.6,Government School,CBSE,85,88,94,90,90,94.3,96.5,70.6,93.2,73.3,86.8,88.5,87.5
Male,7.3,CBSE,93,98,86,93,Government School,CBSE,73,65,78,80,76.2,63.2,76.4,81.3,78.2,90.9,84.2,78.8,86.4
Male,7.3,CBSE,81,81,87,85.8,Government School,State Board,80,64,69,91,79,83.2,85.5,53.2,78.2,83.3,90.8,71.7,85.9
Male,7.3,CBSE,72,92,87,82.6,Government School,CBSE,75,78,85,70,77,55.5,89.7,84.5,86.5,41.8,91.8,79.3,84.6
Male,7.3,CBSE,82,84,88,86.6,Private School,CBSE,83,92,86,92,87.4,86.2,97.8,80.4,93.8,32.5,91,89.2,88
Male,7.2,CBSE,68,90,90,84.2,Government School,CBSE,64,58,54,80,62.8,83.2,86.7,73.6,83.7,74.3,75.6,68.8,75.6
Female,7.2,CBSE,75,65,83,80.8,Government School,CBSE,89,86,84,78,80.6,86.8,77.8,87,85.71,88.5,85.6,92.1,90.7
Female,7.2,CBSE,94,91,94,94,Private School,CBSE,88,76,83,84,87.4,67.5,83,84.4,83.76,37,55,83,71
Male,7.2,CBSE,92,94,82,90.6,Government School,CBSE,77,78,95,85,84.8,21.7,93.4,95.4,91.6,57.4,88.3,83.2,85.6
Male,7.2,ICSE,76,94,80,87.5,Private School,ICSE,80,61,69,77,75.4,90.4,55.4,89.7,85.1,89.6,53.2,65.8,71.8
Male,7.2,State Board,79,82,82,80.83,Private School,State Board,68,47,68,83,71,93.8,68.3,53,79.6,67.7,43.4,42.6,48.5
Female,7.2,CBSE,89,97,83,91.8,Government School,CBSE,80,83,83,74,80.2,50.3,86.2,88.6,85.7,78.3,89,86.2,88.6
Male,7.2,CBSE,93,94,93,90,Private School,CBSE,78,86,83,80,84,76.3,92.7,88.9,92.2,76.3,92.7,88.9,92.2
Male,7.1,CBSE,91,93,86,89.4,Private School,CBSE,69,63,75,83,72,37.9,84.7,74.7,78.8,77.5,48.1,51,57.4
Male,7.1,CBSE,86,93,82,86.4,Government School,CBSE,83,56,76,92,79.6,31,73,86,77,48,81,82,80
Male,7.1,CBSE,75,73,83,82.8,Government School,CBSE,86,69,85,67,79.6,72.1,94.8,44.5,89.1,37.4,89.4,89.2,87.2
Male,7.1,State Board,93,98,90,95.66,Private School,State Board,97,91,94,90,92,75.1,90.9,90.2,90.3,89.6,90,86.5,90.3
Male,7.1,CBSE,87,95,86,91.6,Government School,CBSE,84,79,81,82,81.8,75.2,87.7,96.9,92.3,27,93,95.7,92
Male,7.1,CBSE,84,78,78,86,Government School,CBSE,70,85,71,81,78.2,35.5,55.1,54.8,51,82.5,53.3,91,82
Male,7.1,CBSE,82,98,89,89.6,Government School,CBSE,71,81,76,64,75.4,40.6,77.1,42.6,59.9,32.2,87.1,91.7,86.1
Female,7,CBSE,93,79,81,87.2,Private School,CBSE,78,84,87,74,78.4,73.3,60.6,83,77,66.2,63.6,72.9,69.4
Male,7,State Board,76,70,86,81.16,Private School,State Board,94,83,65,72,82,78.8,74.7,93.9,85.8,94.5,83.9,95,93.1
Male,7,CBSE,81,97,91,91,Government School,CBSE,90,87,85,87,87,76.5,73.2,60.5,72.3,94.1,74,83.9,85.8
Male,7,CBSE,85,89,84,88.4,Government School,CBSE,71,60,70,85,75.2,70.7,87.3,82.1,84.5,53.2,30.4,7.1,15.5
Male,7,CBSE,90,82,72,83.2,Government School,CBSE,94,75,91,78,83.2,83.6,93.6,91,92.8,89.4,92.9,96.9,95.5
Male,7,CBSE,82,93,81,89.4,Government School,CBSE,83,85,89,63,81.2,79,83,76.7,83,54,94.5,93,91.8
Male,7,CBSE,96,91,99,96.4,Private School,CBSE,76,53,69,92,76.8,54.8,86,74.8,83,1.1,86,67,83
Male,6.9,CBSE,80,91,93,88.6,Government School,CBSE,82,53,75,80,76.4,64,92,61,87.6,53.9,86.7,12.4,67.1
Female,6.9,CBSE,95,94,94,94.6,Government School,CBSE,83,89,95,97,91,12.7,83.1,80.5,76.7,53.8,74.1,88.6,82
Male,6.9,CBSE,96,88,93,93.4,Government School,CBSE,64,66,74,77,75,84.5,64,95,89.5,84.5,64,95,89.5
Male,6.9,CBSE,93,83,82,89.2,Government School,CBSE,79,74,76,75,75,52.1,94.7,86.2,90.2,71.8,85.5,76.3,82.6
Male,6.9,CBSE,80,100,91,91.6,Private School,State Board,74,87,79,73,78.8,77.5,69.8,63.2,70.8,85.8,95.5,84,91.8
Male,6.9,CBSE,95,94,94,95.2,Government School,CBSE,67,54,74,84,71.8,43.2,55.9,69.1,61.1,12.2,86.9,91.1,84
Female,6.9,CBSE,94,92,95,93.4,Government School,CBSE,92,77,95,92,92.2,72.9,91.4,93.7,92.6,38.7,84.2,92.2,86.5
Male,6.9,CBSE,91,96,88,93,Government School,CBSE,95,71,91,81,86,40,73,76,72,22,90,95,90.9
Male,6.8,CBSE,81,80,68,82.8,Government School,CBSE,78,60,71,75,72.6,83.6,87.1,81.8,86.6,61.9,87.1,91.6,88.6
Male,6.8,CBSE,93,95,96,94,Government School,CBSE,69,77,70,85,75.2,10,92.5,68.2,84.2,79.2,55.6,65.3,67.1
Female,6.8,State Board,82,68,85,83.6,Private School,State Board,81,75,78,75,79.5,79.1,64,53,68,62.4,84.2,45.1,76
Male,6.8,CBSE,77,81,78,83,Government School,CBSE,82,66,93,65,79.4,46.7,94.8,92.2,93.2,70.7,86.1,93.8,90
Male,6.8,CBSE,78,87,85,84.8,Government School,CBSE,85,67,92,79,81.4,79.4,87.5,85,87.3,81.7,93.2,97.9,95.2
Female,6.7,CBSE,95,94,91,94.2,Government School,CBSE,72,77,73,91,83.83,84.9,82.3,92.9,90.9,39.2,86.4,87.3,83.7
Female,6.7,CBSE,85,97,89,92.6,Government School,CBSE,89,78,85,84,84.4,51.1,95.9,79.7,90.1,31.6,71.5,71.4,67.2
Male,6.7,CBSE,91,93,90,90.8,Government School,CBSE,82,71,90,73,79.2,75.5,75.5,87.3,83,49.6,76.9,35.4,64
Male,6.6,CBSE,91,99,86,92.8,Government School,CBSE,91,67,69,89,82.16,86.3,91,89.8,91.4,50,89.5,89.5,87.9
Male,6.6,CBSE,94,87,80,89.4,Government School,CBSE,66,56,76,85,77.2,45.9,90.5,69.8,83.5,55.3,39.6,58.4,48.4
Female,6.6,CBSE,96,86,82,89,Private School,CBSE,68,56,80,76,71,83,63.3,64,69,76,66,69,70
Male,6.6,State Board,95,95,85,90.8,Private School,CBSE,81,82,71,77,70,68,81,58,73,94,80,28,77
Male,6.6,CBSE,90,93,88,89.2,Government School,CBSE,95,95,95,73,88.8,26.8,89.8,74.2,80.5,92.6,84.3,93.2,91.8
Male,6.6,CBSE,87,96,88,92.8,Government School,CBSE,86,94,88,81,88.2,72.9,80.3,93.5,86.6,43.2,91.8,72.4,83.6
Female,6.6,CBSE,94,94,99,96,Government School,Others,83,94,84,86,85,83.2,90.5,94.7,91.8,74.3,90.3,95.6,91.9
Female,6.6,State Board,96,96,94,97,Government School,State Board,96,97,97,91,95,81.2,82.6,89.7,88,87.9,86.6,97.2,93.1
Male,6.6,State Board,80,100,90,90.25,Private School,State Board,100,100,100,93,97.4,88.7,46.4,64.4,66.8,88.6,86.1,77.7,86
Male,6.6,CBSE,92,92,76,89.8,Government School,CBSE,95,75,75,86,84.4,94.6,80.2,20.5,74.5,86.6,94.2,52.7,85.4
Male,6.6,CBSE,75,95,84,89.8,Private School,CBSE,71,61,52,82,67.6,87.3,80.1,40.4,75,60,85.6,44.4,73.9
Male,6.6,CBSE,92,91,91,92.4,Government School,CBSE,87,67,68,93,81,53,79,81,79,75,95,92,93.6
Male,6.5,State Board,100,100,100,100,Private School,State Board,93,76,86,94,88.4,33.8,66.4,95.4,86.9,37.4,78.4,88.1,81.1
Male,6.5,CBSE,86,91,86,90.2,Government School,CBSE,68,59,78,80,75.4,45,81.9,75.6,77.4,31.6,90,87.6,86
Female,6.5,CBSE,86,87,92,89,Private School,CBSE,76,75,63,95,78.8,45,69,33,51,78,71,91,83
Male,6.5,CBSE,89,90,84,84.6,Government School,CBSE,81,83,88,78,84.2,74.1,96.3,98.1,96.9,69.3,91.3,96.2,93.3
Male,6.5,CBSE,93,93,76,87.2,Private School,CBSE,78,75,61,87,75.8,61.7,67,51.6,61.1,73.3,76.4,46,70.7
Male,6.4,CBSE,92,99,91,92.4,Government School,CBSE,80,72,61,77,75,23.1,92.4,77.7,82.3,27.3,91.5,86,85.7
Female,6.4,CBSE,94,82,92,90.2,Government School,CBSE,83,55,84,75,78.4,40.6,95.7,65.4,87.3,32.2,93.2,73.7,84.3
Male,6.4,CBSE,95,91,84,89.4,Private School,CBSE,73,60,62,86,73,62.8,91.4,73.3,84,85.2,79.7,64.2,78.5
Male,6.4,CBSE,93,87,80,88.2,Government School,CBSE,75,60,74,77,72.4,50.4,90.1,87.9,88.1,26,74,85.7,75.8
Male,6.4,CBSE,94,85,78,87.6,Private School,CBSE,66,60,60,78,68,60.2,67.8,85.3,78.1,73.7,6.2,81.1,60.1
Male,6.4,CBSE,93,93,88,92.4,Private School,CBSE,55,57,58,89,67,37.9,72.4,85,76,93.7,79.1,59.8,81
Male,6.4,CBSE,83,87,73,76.6,Government School,State Board,69,75,66,64,68.6,94.8,90.3,60.5,88.3,88.3,89.4,54,83.7
Male,6.4,CBSE,77,87,66,79.2,Government School,CBSE,81,67,80,72,76.4,4.1,84.7,93.6,83.5,48.3,86,84.5,83.8
Male,6.4,CBSE,87,93,92,94,Private School,CBSE,83,71,71,71,79.2,83.6,92.1,56.2,85.9,62.8,94.2,69.1,85.4
Male,6.4,CBSE,79,92,70,81.4,Private School,CBSE,78,95,62,74,80.8,83.3,91.8,92,91.3,83.3,91.6,83.3,89.8
Male,6.4,CBSE,78,89,87,87.5,Government School,CBSE,61,66,60,82,68.6,45,71.9,75.6,72.3,74.3,86.6,85.8,86.3
Male,6.3,CBSE,93,87,85,90.8,Government School,CBSE,71,81,85,72,80.6,52,89,97,91.9,67,87,94,90
Male,6.3,CBSE,86,91,86,90.4,Government School,CBSE,62,55,70,71,81.2,42,81.2,72.9,76.5,45.1,93.1,92.3,91.1
Male,6.2,CBSE,80,79,74,81.2,Government School,CBSE,67,54,80,79,71.8,84.5,51.2,94.2,87.5,8.8,24.2,54,25.7
Male,6.2,CBSE,82,83,59,80,Government School,CBSE,83,83,91,79,84,75.3,94.2,87.8,91.5,95.2,96.5,91.6,96.1
Female,6.2,CBSE,83,94,82,88.6,Government School,CBSE,61,59,54,76,63.4,75.5,45.2,49.3,54.1,31.6,89.4,79.9,82.3
Female,6.2,CBSE,81,77,92,87.6,Government School,CBSE,73,73,83,77,76,30.3,69.8,91.5,78.2,85.8,89,88.9,90.1
Male,6.2,CBSE,94,87,87,90.4,Government School,CBSE,88,74,88,76,83.4,40,92.8,76.7,84.4,76,86.9,70.9,82.4
Male,6.2,CBSE,91,91,81,89.2,Government School,CBSE,65,46,53,58,55,90.4,71,61.1,77.5,57.5,72.9,84.7,77.6
Female,6.2,CBSE,94,80,83,88.8,Private School,CBSE,70,83,90,89,80.6,56.5,70.5,78.9,73.6,21.8,58.3,58.7,53
Male,6.1,CBSE,64,74,67,78.2,Government School,CBSE,71,49,60,82,69.8,54.4,88,28.5,69.4,33.5,85.6,93.2,86.6
Male,6.1,CBSE,87,92,86,88.8,Government School,CBSE,80,72,79,66,78.6,79,88.1,97.6,93.3,91.5,92.1,79.9,90.5
Male,6.1,CBSE,83,94,83,90,Government School,CBSE,84,65,85,92,80,47.2,75.9,71.1,72.4,49.7,84.7,76.4,80.4
Male,6.1,State Board,81,86,75,76.83,Government School,State Board,81,81,72,51,69.6,79.4,78.8,94.1,87.5,46.2,14.8,79.8,57
Male,6.1,CBSE,94,83,89,91.8,Government School,CBSE,87,72,87,84,84.83,52.9,73.3,74.7,72.6,47.3,66.1,56.2,59.3
Male,5.9,CBSE,83,93,84,90,Government School,CBSE,70,60,76,73,70.6,93.8,77.7,88.8,87.5,81,49.1,68.2,71.6
Male,5.8,CBSE,72,81,73,80,Private School,CBSE,71,61,71,85,75,22,93.6,90.9,89.2,37,80.6,92,84.5
Male,5.8,CBSE,69,87,82,83.4,Private School,CBSE,53,46,50,48,53.4,76.3,76.6,55.3,74,5.2,11.3,25.9,5.2
Male,5.6,CBSE,80,91,82,84.2,Government School,CBSE,60,57,57,71,63.8,52,93.3,92.8,92.8,35.7,29.4,83.9,62
Male,5.4,CBSE,77,64,69,77,Government School,CBSE,83,85,76,83,79.8,31.9,55.1,90.3,74.9,56.5,89.4,75.1,82.6
Male,5.3,CBSE,72,94,80,87.8,Private School,CBSE,77,57,60,70,70,81.4,92.7,90.5,89.4,91,94.4,96.5,96
Male,5.3,CBSE,78,97,94,90.8,Private School,State Board,64,38,59,83,65,45.9,81.2,73.3,75.8,77.3,44,23.7,41.7
Male,5,CBSE,81,82,80,85.6,Government School,CBSE,83,79,90,77,83.6,72.9,87.3,80.4,86.3,78.2,81.5,59.5,77.2
Male,4.9,State Board,100,100,90,92,Private School,State Board,91.66666667,94.33333333,96.66666667,82,90.9,46.5,22.3,19.6,17.7,96.3,82.6,47.4,85.3
Male,3.1,CBSE,91,92,70,86,Private School,State Board,81,68,82,82,79,59.9,94.5,80.8,89.5,85.2,97,84.7,92.9
Male,0.2,CBSE,77,74,91,80,Government School,CBSE,76,63,88,89,80,38,85,95,89.4,68.7,76.7,86.3,83.2
